k,avg_relative_fro_error,std_relative_fro_error,avg_energy_retained,compression_ratio
5,0.10349339356070346,0.018001785086416013,0.9889650532229919,4.750515463917526
10,0.05881283082339575,0.011786399082378817,0.9964021317272095,2.375257731958763
20,0.022859303863212138,0.005228544552202463,0.999450114548755,1.1876288659793814
30,0.008355029347153597,0.0021328397035204885,0.9999256444794073,0.7917525773195876
