sigma,k,avg_noisy_error,avg_denoised_error,avg_error_reduction
10.0,5,0.08306080729029659,0.11051722635982378,-0.027456419069527165
10.0,10,0.08306080729029659,0.0805531992377174,0.0025076080525792133
10.0,20,0.08306080729029659,0.07730808978799392,0.005752717502302691
10.0,30,0.08306080729029659,0.08140346634042923,0.0016573409498673774
20.0,5,0.1651695555103802,0.1305992420218548,0.03457031348852537
20.0,10,0.1651695555103802,0.12993811755382365,0.03523143795655656
20.0,20,0.1651695555103802,0.15124907413861532,0.013920481371764874
20.0,30,0.1651695555103802,0.16161927975698703,0.0035502757533931485
